%time,field.x,field.y,field.z
60200000000,1.0,0.0,0.0
60300000000,1.0,0.0,0.0
60400000000,1.0,0.0,0.0
60500000000,1.0,0.0,0.0
60600000000,1.0,0.0,0.0
60700000000,1.0,0.0,0.0
60800000000,1.0,0.0,0.0
60900000000,1.0,0.0,0.0
61000000000,1.0,0.0,0.0
61100000000,1.0,0.0,0.0
61200000000,1.0,0.0,0.0
61300000000,1.0,0.0,0.0
61400000000,1.0,0.0,0.0
61500000000,1.0,0.0,0.0
61600000000,1.0,0.0,0.0
61700000000,1.0,0.0,0.0
61800000000,1.0,0.0,0.0
61900000000,1.0,0.0,0.0
62000000000,1.0,0.0,0.0
62100000000,1.0,0.0,0.0
62200000000,1.0,0.0,0.0
62300000000,1.0,0.0,0.0
62400000000,1.0,0.0,0.0
62500000000,1.0,0.0,0.0
62600000000,1.0,0.0,0.0
62700000000,1.0,0.0,0.0
62800000000,1.0,0.0,0.0
62900000000,1.0,0.0,0.0
63000000000,1.0,0.0,0.0
63100000000,1.0,0.0,0.0
63200000000,1.0,0.0,0.0
63300000000,1.0,0.0,0.0
63400000000,1.0,0.0,0.0
63400000000,1.0,0.0,0.0
63600000000,1.0,0.0,0.0
63700000000,1.0,0.0,0.0
63800000000,1.0,0.0,0.0
63900000000,1.0,0.0,0.0
63900000000,1.0,0.0,0.0
64100000000,1.0,0.0,0.0
64200000000,1.0,0.0,0.0
64300000000,1.0,0.0,0.0
64300000000,1.0,0.0,0.0
64500000000,1.0,0.0,0.0
64500000000,1.0,0.0,0.0
64700000000,1.0,0.0,0.0
64800000000,1.0,0.0,0.0
64900000000,1.0,0.0,0.0
65000000000,1.0,0.0,0.0
65100000000,1.0,0.0,0.0
65100000000,1.0,0.0,0.0
65300000000,1.0,0.0,0.0
65400000000,1.0,0.0,0.0
65500000000,1.0,0.0,0.0
65600000000,1.0,0.0,0.0
65700000000,1.0,0.0,0.0
65800000000,1.0,0.0,0.0
65900000000,1.0,0.0,0.0
66000000000,1.0,0.0,0.0
66100000000,1.0,0.0,0.0
66200000000,1.0,0.0,0.0
66300000000,1.0,0.0,0.0
66400000000,1.0,0.0,0.0
66500000000,1.0,0.0,0.0
66600000000,1.0,0.0,0.0
66700000000,1.0,0.0,0.0
66800000000,1.0,0.0,0.0
66900000000,1.0,0.0,0.0
67000000000,1.0,0.0,0.0
67100000000,1.0,0.0,0.0
67200000000,1.0,0.0,0.0
67200000000,1.0,0.0,0.0
67400000000,1.0,0.0,0.0
67500000000,1.0,0.0,0.0
67600000000,1.0,0.0,0.0
67700000000,1.0,0.0,0.0
67700000000,1.0,0.0,0.0
67900000000,1.0,0.0,0.0
68000000000,1.0,0.0,0.0
68100000000,1.0,0.0,0.0
68200000000,1.0,0.0,0.0
68300000000,1.0,0.0,0.0
68300000000,1.0,0.0,0.0
